,-3.480,-3.297,-3.114,-2.931,-2.747,-2.564,-2.381,-2.198,-2.015,-1.832,-1.648,-1.465,-1.282,-1.099,-0.916,-0.733,-0.549,-0.366,-0.183,0.000,0.183,0.366,0.549,0.733,0.916,1.099,1.282,1.465,1.648,1.832,2.015,2.198,2.381,2.564,2.747,2.931,3.114,3.297,3.480
86.955,2.00440E-03,2.00700E-03,2.00970E-03,2.01230E-03,2.01500E-03,2.01760E-03,2.02030E-03,2.02290E-03,2.02560E-03,2.02820E-03,2.03080E-03,2.03340E-03,2.03580E-03,2.03810E-03,2.04020E-03,2.04210E-03,2.04370E-03,2.04490E-03,2.04560E-03,2.04590E-03,2.04560E-03,2.04490E-03,2.04370E-03,2.04210E-03,2.04020E-03,2.03810E-03,2.03580E-03,2.03340E-03,2.03080E-03,2.02820E-03,2.02560E-03,2.02290E-03,2.02030E-03,2.01760E-03,2.01500E-03,2.01230E-03,2.00970E-03,2.00700E-03,2.00440E-03
83.406,2.05070E-03,2.05490E-03,2.05910E-03,2.06330E-03,2.06760E-03,2.07200E-03,2.07640E-03,2.08080E-03,2.08530E-03,2.08980E-03,2.09440E-03,2.09890E-03,2.10330E-03,2.10750E-03,2.11130E-03,2.11490E-03,2.11780E-03,2.11990E-03,2.12110E-03,2.12160E-03,2.12110E-03,2.11990E-03,2.11780E-03,2.11490E-03,2.11130E-03,2.10750E-03,2.10330E-03,2.09890E-03,2.09440E-03,2.08980E-03,2.08530E-03,2.08080E-03,2.07640E-03,2.07200E-03,2.06760E-03,2.06330E-03,2.05910E-03,2.05490E-03,2.05070E-03
79.857,2.08130E-03,2.08590E-03,2.09060E-03,2.09540E-03,2.10020E-03,2.10500E-03,2.10990E-03,2.11470E-03,2.11960E-03,2.12440E-03,2.12930E-03,2.13410E-03,2.13880E-03,2.14320E-03,2.14730E-03,2.15090E-03,2.15400E-03,2.15620E-03,2.15740E-03,2.15780E-03,2.15740E-03,2.15620E-03,2.15400E-03,2.15090E-03,2.14730E-03,2.14320E-03,2.13880E-03,2.13410E-03,2.12930E-03,2.12440E-03,2.11960E-03,2.11470E-03,2.10990E-03,2.10500E-03,2.10020E-03,2.09540E-03,2.09060E-03,2.08590E-03,2.08130E-03
76.307,2.10020E-03,2.10500E-03,2.10990E-03,2.11480E-03,2.11980E-03,2.12470E-03,2.12970E-03,2.13470E-03,2.13970E-03,2.14460E-03,2.14960E-03,2.15440E-03,2.15910E-03,2.16360E-03,2.16770E-03,2.17140E-03,2.17440E-03,2.17670E-03,2.17800E-03,2.17840E-03,2.17800E-03,2.17670E-03,2.17440E-03,2.17140E-03,2.16770E-03,2.16360E-03,2.15910E-03,2.15440E-03,2.14960E-03,2.14460E-03,2.13970E-03,2.13470E-03,2.12970E-03,2.12470E-03,2.11980E-03,2.11480E-03,2.10990E-03,2.10500E-03,2.10020E-03
72.758,2.11170E-03,2.11670E-03,2.12160E-03,2.12650E-03,2.13150E-03,2.13650E-03,2.14150E-03,2.14650E-03,2.15150E-03,2.15640E-03,2.16140E-03,2.16620E-03,2.17090E-03,2.17530E-03,2.17940E-03,2.18310E-03,2.18610E-03,2.18840E-03,2.18970E-03,2.19020E-03,2.18970E-03,2.18840E-03,2.18610E-03,2.18310E-03,2.17940E-03,2.17530E-03,2.17090E-03,2.16620E-03,2.16140E-03,2.15640E-03,2.15150E-03,2.14650E-03,2.14150E-03,2.13650E-03,2.13150E-03,2.12650E-03,2.12160E-03,2.11670E-03,2.11170E-03
69.209,2.11820E-03,2.12310E-03,2.12800E-03,2.13300E-03,2.13790E-03,2.14290E-03,2.14790E-03,2.15280E-03,2.15780E-03,2.16280E-03,2.16760E-03,2.17240E-03,2.17700E-03,2.18150E-03,2.18550E-03,2.18910E-03,2.19200E-03,2.19420E-03,2.19550E-03,2.19600E-03,2.19550E-03,2.19420E-03,2.19200E-03,2.18910E-03,2.18550E-03,2.18150E-03,2.17700E-03,2.17240E-03,2.16760E-03,2.16280E-03,2.15780E-03,2.15280E-03,2.14790E-03,2.14290E-03,2.13790E-03,2.13300E-03,2.12800E-03,2.12310E-03,2.11820E-03
65.659,2.12100E-03,2.12580E-03,2.13070E-03,2.13560E-03,2.14050E-03,2.14540E-03,2.15040E-03,2.15530E-03,2.16020E-03,2.16500E-03,2.16990E-03,2.17460E-03,2.17920E-03,2.18360E-03,2.18760E-03,2.19110E-03,2.19400E-03,2.19620E-03,2.19760E-03,2.19810E-03,2.19760E-03,2.19620E-03,2.19400E-03,2.19110E-03,2.18760E-03,2.18360E-03,2.17920E-03,2.17460E-03,2.16990E-03,2.16500E-03,2.16020E-03,2.15530E-03,2.15040E-03,2.14540E-03,2.14050E-03,2.13560E-03,2.13070E-03,2.12580E-03,2.12100E-03
62.110,2.12070E-03,2.12550E-03,2.13030E-03,2.13520E-03,2.14000E-03,2.14490E-03,2.14970E-03,2.15450E-03,2.15940E-03,2.16420E-03,2.16900E-03,2.17360E-03,2.17810E-03,2.18240E-03,2.18640E-03,2.18990E-03,2.19280E-03,2.19500E-03,2.19630E-03,2.19680E-03,2.19630E-03,2.19500E-03,2.19280E-03,2.18990E-03,2.18640E-03,2.18240E-03,2.17810E-03,2.17360E-03,2.16900E-03,2.16420E-03,2.15940E-03,2.15450E-03,2.14970E-03,2.14490E-03,2.14000E-03,2.13520E-03,2.13030E-03,2.12550E-03,2.12070E-03
58.561,2.11780E-03,2.12260E-03,2.12730E-03,2.13210E-03,2.13690E-03,2.14160E-03,2.14640E-03,2.15120E-03,2.15600E-03,2.16070E-03,2.16540E-03,2.16990E-03,2.17440E-03,2.17860E-03,2.18240E-03,2.18580E-03,2.18860E-03,2.19080E-03,2.19210E-03,2.19260E-03,2.19210E-03,2.19080E-03,2.18860E-03,2.18580E-03,2.18240E-03,2.17860E-03,2.17440E-03,2.16990E-03,2.16540E-03,2.16070E-03,2.15600E-03,2.15120E-03,2.14640E-03,2.14160E-03,2.13690E-03,2.13210E-03,2.12730E-03,2.12260E-03,2.11780E-03
