Em_eV,thetas_rad
7.800000000000000000e+02,1.521325586553753162e+00
7.900000000000000000e+02,1.521640280442556836e+00
8.000000000000000000e+02,1.521949044235530346e+00
8.100000000000000000e+02,1.522252061867736206e+00
8.200000000000000000e+02,1.522549509384888644e+00
8.300000000000000000e+02,1.522841555373100286e+00
8.400000000000000000e+02,1.523128361360472915e+00
8.500000000000000000e+02,1.523410082192500514e+00
8.600000000000000000e+02,1.523686866383366256e+00
8.700000000000000000e+02,1.523958856444956211e+00
8.800000000000000000e+02,1.524226189195208025e+00
8.900000000000000000e+02,1.524488996047275169e+00
9.000000000000000000e+02,1.524747403280996227e+00
9.100000000000000000e+02,1.525001532297860507e+00
9.200000000000000000e+02,1.525251499860655446e+00
9.300000000000000000e+02,1.525497418318908505e+00
9.400000000000000000e+02,1.525739395821041011e+00
9.500000000000000000e+02,1.525977536514214972e+00
9.600000000000000000e+02,1.526211940732710604e+00
9.700000000000000000e+02,1.526442705175484083e+00
9.800000000000000000e+02,1.526669923073839641e+00
9.900000000000000000e+02,1.526893684349653668e+00
1.000000000000000000e+03,1.527114075764897549e+00
1.010000000000000000e+03,1.527331181063017018e+00
1.020000000000000000e+03,1.527545081102579250e+00
1.030000000000000000e+03,1.527755853983860046e+00
1.040000000000000000e+03,1.527963575168594712e+00
1.050000000000000000e+03,1.528168317593524561e+00
1.060000000000000000e+03,1.528370151778004171e+00
1.070000000000000000e+03,1.528569145926011119e+00
1.080000000000000000e+03,1.528765366023015826e+00
1.090000000000000000e+03,1.528958875927904693e+00
1.100000000000000000e+03,1.529149737460256286e+00
1.110000000000000000e+03,1.529338010483359156e+00
1.120000000000000000e+03,1.529523752983078966e+00
1.130000000000000000e+03,1.529707021142892920e+00
1.140000000000000000e+03,1.529887869415258006e+00
1.150000000000000000e+03,1.530066350589629032e+00
1.160000000000000000e+03,1.530242515857163088e+00
1.170000000000000000e+03,1.530416414872406872e+00
1.180000000000000000e+03,1.530588095812114080e+00
1.190000000000000000e+03,1.530757605431293911e+00
1.200000000000000000e+03,1.530924989116719370e+00
1.210000000000000000e+03,1.531090290937969556e+00
1.220000000000000000e+03,1.531253553696181990e+00
1.230000000000000000e+03,1.531414818970611824e+00
1.240000000000000000e+03,1.531574127163116472e+00
1.250000000000000000e+03,1.531731517540662502e+00
1.260000000000000000e+03,1.531887028276019969e+00
1.270000000000000000e+03,1.532040696486615783e+00
1.280000000000000000e+03,1.532192558271785021e+00
1.290000000000000000e+03,1.532342648748381997e+00
1.300000000000000000e+03,1.532491002084882314e+00
1.310000000000000000e+03,1.532637651534081602e+00
1.320000000000000000e+03,1.532782629464400692e+00
1.330000000000000000e+03,1.532925967389900057e+00
1.340000000000000000e+03,1.533067695999029478e+00
1.350000000000000000e+03,1.533207845182272155e+00
