Em_eV,thetas_rad
1.140000000000000000e+03,1.547958794488065282e+00
1.150000000000000000e+03,1.548058368953638686e+00
1.160000000000000000e+03,1.548156652204259576e+00
1.170000000000000000e+03,1.548253671906860252e+00
1.180000000000000000e+03,1.548349454905451505e+00
1.190000000000000000e+03,1.548444027252341204e+00
1.200000000000000000e+03,1.548537414237966425e+00
1.210000000000000000e+03,1.548629640419172393e+00
1.220000000000000000e+03,1.548720729646506644e+00
1.230000000000000000e+03,1.548810705089965989e+00
1.240000000000000000e+03,1.548899589263886600e+00
1.250000000000000000e+03,1.548987404050549799e+00
1.260000000000000000e+03,1.549074170722797739e+00
1.270000000000000000e+03,1.549159909965730275e+00
1.280000000000000000e+03,1.549244641897400632e+00
1.290000000000000000e+03,1.549328386088614895e+00
1.300000000000000000e+03,1.549411161582001650e+00
1.310000000000000000e+03,1.549492986910081083e+00
1.320000000000000000e+03,1.549573880112861568e+00
1.330000000000000000e+03,1.549653858754350910e+00
1.340000000000000000e+03,1.549732939938755161e+00
1.350000000000000000e+03,1.549811140325720649e+00
1.360000000000000000e+03,1.549888476145175442e+00
1.370000000000000000e+03,1.549964963211345470e+00
1.380000000000000000e+03,1.550040616936513516e+00
1.390000000000000000e+03,1.550115452343905131e+00
1.400000000000000000e+03,1.550189484080346514e+00
1.410000000000000000e+03,1.550262726428206284e+00
1.420000000000000000e+03,1.550335193317062377e+00
1.430000000000000000e+03,1.550406898334715233e+00
1.440000000000000000e+03,1.550477854738004257e+00
1.450000000000000000e+03,1.550548075463067832e+00
1.460000000000000000e+03,1.550617573135196103e+00
1.470000000000000000e+03,1.550686360078450843e+00
1.480000000000000000e+03,1.550754448324791035e+00
1.490000000000000000e+03,1.550821849622923132e+00
1.500000000000000000e+03,1.550888575446822459e+00
1.510000000000000000e+03,1.550954637003942427e+00
1.520000000000000000e+03,1.551020045243114431e+00
1.530000000000000000e+03,1.551084810862180197e+00
1.540000000000000000e+03,1.551148944315304590e+00
1.550000000000000000e+03,1.551212455820171421e+00
1.560000000000000000e+03,1.551275355364627240e+00
1.570000000000000000e+03,1.551337652713494109e+00
1.580000000000000000e+03,1.551399357414800395e+00
1.590000000000000000e+03,1.551460478805977594e+00
1.600000000000000000e+03,1.551521026019774263e+00
